# {"t_start": 1659482831.773812, "env_id": "Bpp-v0"} 
r,l,t
7.12,48,2482.809563
6.81,45,2488.324021
7.95,54,2493.904449
5.44,30,2497.789949
7.32,50,2503.035895
7.58,46,2508.166518
6.92,45,2513.184222
6.62,42,2515.88722
6.65,44,2520.724187
7.59,52,2526.411993
5.94,40,2531.082823
6.75,47,2536.21441
6.94,47,2541.381274
6.15,40,2546.360891
8.08,49,2552.153672
6.66,43,2557.475397
6.3,42,2564.075967
5.15,36,2566.453393
6.23,38,2571.842566
7.11,49,2576.618088
6.18,41,2580.133808
7.11,47,2584.829777
5.58,38,2586.596907
6.68,41,2590.003334
6.81,42,2593.9946
6.11,37,2597.185448
6.3,43,2600.842395
7.38,54,2605.125858
7.16,48,2608.700325
7.68,46,2612.747412
6.63,46,2617.093215
7.32,49,2622.188176
6.94,46,2625.373366
6.58,41,2627.32485
5.9,41,2630.564955
7.97,53,2635.412867
6.47,43,2639.095326
6.98,50,2643.362996
6.47,44,2647.672965
6.95,47,2652.276283
7.32,49,2656.935517
6.75,44,2661.935121
7.71,54,2667.915503
7.46,54,2673.806377
7.76,48,2678.714856
4.95,31,2682.929485
7.74,50,2688.116645
8.01,55,2695.224648
6.23,41,2698.514909
7.3,47,2703.672361
7.11,48,2708.851108
6.33,45,2713.217913
7.15,50,2718.183787
5.02,32,2722.398998
7.81,54,2728.48699
7.64,51,2733.432797
7.47,47,2737.747844
6.57,45,2742.254176
7.85,52,2746.921478
6.0,39,2750.553229
7.63,50,2756.239844
7.39,48,2760.145772
6.98,50,2764.552134
6.73,45,2766.849206
7.61,52,2772.997664
7.59,50,2777.354997
8.17,53,2781.892537
4.86,35,2784.273736
8.86,63,2791.267365
5.74,41,2794.814433
6.96,43,2799.126999
8.23,51,2803.33568
2.24,14,2805.64438
7.32,45,2807.668653
5.68,36,2811.041771
6.37,40,2815.351357
6.95,45,2819.26892
6.72,48,2823.373002
7.14,44,2826.999542
7.07,42,2830.76585
7.39,46,2832.954655
7.79,52,2837.383118
7.44,50,2844.75507
7.66,53,2852.732879
7.53,47,2855.015793
7.66,53,2863.174472
5.81,37,2864.988439
6.31,41,2869.014142
6.12,36,2872.277273
6.97,42,2876.60195
7.09,50,2880.493074
7.45,52,2884.750056
7.48,42,2888.286563
7.73,47,2890.462387
7.33,51,2896.258323
6.8,44,2898.17385
6.47,44,2903.405869
6.63,43,2907.832876
7.53,51,2911.916012
7.27,51,2916.135823
6.1,44,2919.778853
7.48,49,2923.752222
6.44,46,2928.201232
6.43,43,2932.225851
6.0,45,2937.2049
7.4,48,2941.17499
7.81,53,2945.576506
8.74,54,2950.099678
7.11,45,2953.944952
5.78,38,2955.746324
7.85,53,2962.13317
7.66,50,2966.967311
6.12,41,2968.961669
6.73,46,2973.523948
6.0,36,2976.939662
7.74,55,2981.218122
7.95,51,2985.438631
6.07,39,2988.765866
7.3,50,2993.181947
7.63,51,2997.538008
5.67,35,3000.771399
7.43,53,3005.269961
7.44,52,3009.970902
6.05,41,3014.065886
6.11,37,3015.82512
8.21,56,3021.866248
7.64,53,3026.900465
8.1,55,3032.816475
6.75,43,3035.027024
6.75,40,3038.491513
6.83,44,3042.078119
7.69,47,3046.124585
7.24,49,3050.129698
7.25,49,3054.52564
6.23,43,3058.339394
6.88,46,3062.393534
7.86,54,3066.697551
7.82,53,3070.990305
7.1,45,3074.74463
6.96,48,3078.636013
6.58,40,3082.24607
7.98,54,3086.833843
5.95,40,3088.704503
3.87,27,3091.578726
7.7,51,3095.718917
8.02,54,3099.810225
6.58,44,3103.585866
7.26,48,3107.541217
6.58,41,3111.095266
7.57,48,3115.325351
8.12,55,3120.190093
7.64,48,3124.401075
7.54,48,3129.030138
7.82,51,3133.556952
7.34,47,3137.405288
6.25,43,3141.401128
7.76,53,3146.454679
8.44,56,3150.968523
7.34,52,3155.188032
7.69,51,3159.743099
8.04,56,3164.767709
7.6,52,3169.238008
7.67,48,3174.124158
7.28,47,3178.172384
7.53,48,3182.756352
7.34,45,3186.519915
7.11,46,3190.75946
8.79,57,3195.835131
8.14,52,3200.688294
8.02,52,3205.291135
5.83,40,3209.032672
6.63,37,3211.070396
6.67,46,3215.611945
7.45,57,3220.195008
7.27,46,3224.429818
7.06,45,3228.476236
5.13,35,3232.310051
6.91,44,3236.419046
7.96,51,3241.062364
6.37,38,3246.949748
7.37,46,3251.948711
7.54,52,3256.011065
6.63,46,3259.913551
8.43,50,3265.464721
8.1,53,3269.829822
8.25,53,3274.019503
7.63,52,3278.143537
7.66,50,3282.553399
7.7,52,3287.333811
7.19,49,3291.639505
7.02,43,3295.760822
4.7,32,3297.299201
7.99,52,3301.861732
7.87,52,3306.780201
7.27,50,3311.096742
8.17,51,3315.595801
7.6,52,3320.115262
7.16,47,3325.319489
6.74,48,3329.973621
7.26,42,3333.747717
7.69,48,3338.874033
7.26,48,3343.041418
7.77,51,3347.798157
7.9,52,3352.284985
8.02,51,3356.805111
7.08,48,3361.967278
8.24,55,3366.661187
7.46,50,3371.064605
7.37,49,3375.666823
7.34,50,3380.503187
7.84,53,3384.714583
7.61,50,3388.899847
8.07,56,3393.042957
7.65,52,3397.218781
7.76,51,3401.301318
2.39,15,3403.734445
6.78,43,3407.437852
7.87,48,3409.541945
7.74,55,3415.266272
7.63,50,3419.327625
6.44,41,3421.145952
5.02,33,3424.422355
7.76,49,3428.284845
6.19,43,3431.970539
7.08,48,3436.499315
7.45,53,3440.960257
7.33,53,3445.466952
7.22,47,3449.776865
5.91,37,3452.813952
6.67,46,3455.920505
8.12,52,3459.417539
7.55,49,3462.456411
7.11,49,3465.777453
7.86,54,3469.361005
6.1,39,3470.870287
6.93,41,3473.839203
8.05,48,3477.094702
7.55,48,3480.250755
7.16,47,3483.572998
7.29,54,3486.908881
7.34,53,3490.320159
7.32,46,3493.425245
7.45,50,3496.602939
7.62,51,3499.757829
7.3,43,3502.693277
6.4,43,3505.599007
8.25,52,3508.773397
7.83,52,3512.041183
7.58,48,3515.451388
7.51,53,3518.912778
7.78,52,3522.378992
7.17,50,3525.683595
8.63,61,3529.532973
7.16,49,3532.973861
7.77,51,3536.416696
7.7,53,3539.922572
7.24,51,3543.300229
7.79,49,3546.484957
8.3,58,3549.983096
8.79,58,3555.229319
7.37,48,3558.836655
7.18,52,3562.751879
4.93,34,3564.23251
7.34,48,3568.795028
7.41,45,3573.612156
8.36,56,3579.484719
7.84,49,3584.410675
7.25,51,3589.795179
7.83,48,3594.750229
8.08,53,3600.153338
7.95,49,3605.28096
7.33,54,3610.623537
4.98,33,3614.837915
6.4,40,3619.547417
7.88,50,3624.728624
7.71,52,3629.891289
7.9,51,3635.197662
5.75,37,3639.529142
6.48,40,3642.093772
7.53,49,3647.35781
8.12,53,3652.523264
8.0,54,3659.948176
7.28,49,3665.057636
7.47,47,3667.857281
7.24,46,3672.986707
8.36,56,3680.705075
7.17,49,3685.847127
7.45,51,3690.917256
7.95,50,3695.957865
7.29,49,3701.046829
8.06,51,3706.07723
7.96,54,3711.499344
7.52,49,3716.379101
7.88,54,3721.734584
7.54,49,3726.953714
7.41,51,3732.174815
7.57,51,3737.402989
8.32,56,3743.23471
6.3,41,3747.857789
7.95,52,3752.947344
7.5,47,3757.881012
7.71,53,3762.726881
8.47,55,3768.059436
8.22,54,3773.485843
5.88,39,3778.114918
7.4,46,3782.917213
7.52,51,3788.090166
8.31,56,3793.298593
7.34,49,3798.283253
7.17,46,3803.130207
7.59,50,3808.210984
7.68,50,3813.0758
6.68,47,3817.870357
7.84,50,3823.447405
7.62,48,3826.711171
8.03,53,3834.325511
4.45,27,3836.532413
7.41,48,3842.030394
7.43,46,3846.447989
8.04,52,3851.458903
7.63,47,3856.389168
6.56,43,3860.919626
6.95,45,3865.394821
7.08,51,3870.531107
7.33,46,3875.244537
5.59,33,3877.304303
6.99,50,3882.408427
4.98,32,3886.343314
8.27,54,3892.009444
5.88,38,3896.661474
7.84,52,3902.211415
7.84,54,3907.503712
7.29,46,3912.319326
5.66,40,3916.611111
7.58,47,3921.410856
6.5,44,3924.122789
8.32,59,3931.528938
7.67,56,3936.812832
8.06,52,3941.604281
7.12,47,3946.058281
8.03,53,3950.801845
8.13,54,3955.797427
7.27,49,3960.91166
8.64,58,3966.487797
7.79,48,3971.731871
6.47,39,3975.91162
8.2,53,3980.69506
8.12,56,3985.3609
8.14,53,3989.444411
8.01,54,3994.214829
6.94,47,3998.629775
8.12,51,4002.684816
8.21,48,4006.816792
8.26,55,4011.388053
7.49,45,4015.39825
7.52,46,4019.751733
7.66,52,4024.028112
6.51,39,4027.899655
8.06,54,4032.453955
7.36,48,4036.805454
7.93,51,4041.088955
8.2,52,4046.042413
6.9,49,4050.443007
8.66,56,4054.917622
7.93,53,4059.845933
8.41,52,4064.456653
3.08,18,4065.242827
8.53,55,4070.434503
7.62,46,4074.771666
4.97,31,4078.40371
6.38,40,4082.273869
8.41,53,4086.540819
8.5,55,4091.206593
7.31,47,4095.862818
7.83,56,4102.338952
6.54,43,4106.909769
7.23,46,4110.836323
7.85,51,4116.036135
8.36,52,4122.457073
8.49,57,4128.03613
8.78,54,4133.077834
8.02,54,4137.911
8.23,55,4142.970124
8.07,52,4148.265445
8.37,55,4153.248128
7.62,51,4158.006152
8.27,55,4164.703324
8.24,50,4169.329376
7.55,46,4171.92066
7.08,48,4176.483865
8.31,56,4184.908388
7.64,50,4189.405749
8.39,54,4194.03617
6.65,46,4198.137039
7.13,41,4200.244789
8.15,51,4204.623262
6.44,42,4208.623046
8.24,57,4213.304372
5.34,30,4218.39404
7.5,50,4224.67332
7.2,49,4228.995505
7.71,49,4233.100434
6.5,45,4237.040927
6.83,44,4240.951723
8.53,55,4245.271185
8.33,55,4249.768654
7.69,50,4253.987948
7.85,52,4258.167273
8.64,56,4262.542408
2.11,15,4263.267015
8.11,57,4269.658541
6.79,45,4271.824971
8.32,55,4277.758881
5.84,36,4279.534953
5.97,38,4283.032529
7.42,49,4287.133324
7.86,49,4291.226299
7.35,49,4295.323094
8.6,55,4299.687948
7.13,50,4304.127162
7.84,51,4308.681757
8.35,52,4313.033299
8.01,51,4317.490874
7.75,48,4321.569994
7.36,47,4325.821418
7.37,53,4330.498326
8.13,57,4335.36835
8.61,55,4339.938829
8.11,54,4344.67415
8.59,60,4351.464699
7.15,48,4356.519436
8.37,56,4362.286219
4.24,30,4364.159328
7.23,46,4369.247374
7.9,50,4373.877668
8.08,51,4378.354006
8.56,58,4383.676946
8.86,62,4391.331504
8.3,56,4396.987271
6.86,47,4401.808544
8.03,51,4406.93548
8.74,60,4412.596914
7.58,48,4417.82908
7.43,51,4422.8829
7.34,51,4428.326922
8.41,53,4433.183845
7.09,47,4437.634188
7.34,50,4442.651991
7.68,49,4447.456697
7.89,50,4452.428567
7.85,50,4457.301731
7.93,47,4462.151977
7.91,52,4467.053353
7.63,53,4472.200164
7.42,43,4476.774306
7.89,53,4482.166049
4.9,32,4484.188023
7.74,52,4491.8546
6.49,40,4494.079556
7.33,45,4498.541193
7.47,48,4503.107646
7.47,47,4508.212109
3.17,22,4511.326559
7.2,47,4514.040257
7.91,51,4521.096533
8.11,56,4526.538476
5.2,31,4528.474367
7.45,48,4533.581869
7.7,50,4538.703607
7.25,48,4543.588909
8.36,56,4549.201194
4.54,35,4553.647104
7.91,52,4558.661853
8.05,52,4563.262373
7.77,46,4567.577731
6.68,45,4571.748634
6.08,37,4575.407246
7.26,43,4577.478463
7.73,49,4581.794413
7.55,52,4587.973216
8.82,56,4592.494363
8.28,53,4596.984353
7.53,46,4601.627786
7.94,49,4606.069877
7.9,49,4610.728694
7.55,47,4615.202736
8.05,52,4619.654906
7.75,55,4624.318479
7.82,54,4629.032243
6.94,48,4633.292902
7.64,48,4637.583348
8.01,50,4641.846797
6.77,46,4645.798769
7.31,47,4650.027261
6.97,45,4652.370973
8.24,53,4656.801663
5.73,38,4660.789916
7.57,46,4664.766526
7.68,52,4668.881926
7.61,49,4672.944325
7.31,46,4676.926478
7.76,50,4681.105321
8.05,54,4685.670541
6.5,41,4689.63884
7.33,44,4693.659394
7.2,49,4698.087389
7.41,46,4702.293171
7.91,52,4706.785736
8.04,49,4710.791476
5.05,28,4712.298426
8.17,52,4716.604432
6.74,43,4720.45088
7.62,51,4724.687917
8.1,52,4729.120926
7.87,55,4733.584259
8.23,55,4740.172899
7.85,54,4744.495446
7.73,53,4748.747001
7.81,49,4752.904802
7.88,56,4757.327441
7.31,47,4761.3867
6.77,42,4765.327386
7.35,50,4769.491162
7.97,53,4773.853573
8.48,58,4778.482882
7.55,49,4782.928326
8.72,61,4787.734824
7.86,53,4792.346053
7.86,55,4797.180782
8.4,55,4801.95698
6.75,39,4805.755573
7.02,45,4810.30092
7.43,50,4815.35378
8.01,54,4819.754266
8.5,53,4825.562276
7.95,51,4831.28993
8.45,58,4836.574625
7.34,50,4841.026625
7.69,53,4845.512475
7.53,49,4849.95576
6.99,44,4854.424742
7.39,46,4858.730499
7.38,46,4862.727714
8.65,58,4867.957355
7.49,47,4872.540197
7.14,41,4876.748856
8.15,52,4881.810419
6.87,40,4885.74167
7.42,53,4889.950842
8.4,56,4894.892078
7.86,48,4899.29006
7.51,45,4903.48454
7.24,45,4907.919922
7.49,45,4912.126632
7.99,53,4918.969827
7.3,48,4923.435598
8.45,57,4928.090393
6.94,44,4932.129927
6.98,43,4934.19551
7.66,48,4938.56291
8.07,52,4943.066206
7.52,47,4947.281917
7.97,58,4953.586979
7.56,52,4958.117476
7.8,52,4962.328699
8.05,53,4966.748179
8.39,53,4971.064228
8.16,52,4975.675134
8.51,56,4980.229981
8.66,54,4984.711528
7.21,51,4989.106811
8.4,56,4993.923517
7.77,53,4998.325073
5.53,34,5001.610794
8.31,53,5005.999155
8.4,55,5010.442287
2.36,18,5011.428536
7.65,53,5015.724568
7.17,47,5020.087411
0.12,2,5020.1092
7.19,47,5024.076637
6.98,45,5028.109835
7.83,52,5032.694993
4.96,28,5036.986222
6.03,39,5041.108668
7.74,51,5045.917435
7.05,49,5051.548692
8.43,58,5056.850312
8.4,57,5061.528111
8.35,57,5066.919778
7.8,50,5071.617175
8.16,48,5075.819681
8.06,54,5080.655361
5.67,36,5084.319022
1.34,9,5084.822664
7.39,50,5089.044052
7.92,53,5093.587094
8.62,56,5098.27753
8.41,51,5102.465054
6.63,40,5106.210537
8.47,55,5110.601831
7.37,52,5115.011114
6.37,37,5118.627602
6.31,37,5121.517099
7.77,48,5124.838761
7.96,52,5128.191983
8.18,53,5131.837173
8.77,60,5135.776429
7.41,43,5139.049149
7.6,49,5142.361556
6.72,44,5145.537911
8.84,56,5149.071836
8.44,57,5153.018104
7.11,45,5156.329821
8.37,56,5160.409353
6.64,41,5163.644891
7.64,52,5167.226903
8.36,55,5170.973212
6.86,43,5174.329813
7.74,57,5177.973541
7.57,50,5181.439678
7.29,44,5184.515142
7.57,53,5188.099932
4.46,27,5189.076895
6.96,45,5192.313151
7.8,53,5195.722927
8.48,58,5199.22663
8.46,52,5204.056592
7.16,46,5205.809835
2.07,15,5207.705644
8.05,51,5211.010263
7.76,52,5214.461879
7.1,48,5217.632819
9.01,59,5221.440432
8.6,56,5224.867938
6.98,47,5228.242931
8.13,51,5231.692015
7.72,45,5234.970991
8.24,56,5238.524121
8.18,53,5242.257426
8.76,59,5246.04386
8.91,59,5250.012972
6.47,43,5253.206287
6.86,44,5256.381526
6.38,46,5259.672146
8.46,55,5263.410219
6.92,43,5266.308994
8.26,57,5270.091596
7.4,49,5273.406181
7.37,47,5276.621301
7.55,54,5280.119148
8.77,56,5283.830788
8.37,56,5287.368042
7.9,49,5290.894613
8.25,58,5296.046204
7.52,49,5299.180321
7.66,50,5302.47046
8.32,55,5306.004803
6.78,42,5309.517993
8.59,57,5313.145784
6.52,38,5314.681623
8.77,57,5320.005545
8.39,55,5323.524188
8.17,54,5327.320293
8.33,54,5330.808219
8.15,53,5334.203466
7.07,44,5337.450139
7.1,47,5340.76678
8.26,52,5344.254558
7.58,51,5347.602798
7.8,56,5351.178435
8.37,54,5354.859072
8.52,59,5358.896236
2.25,15,5359.492689
8.28,48,5363.117854
5.9,36,5365.894249
7.79,51,5369.208577
8.29,54,5372.672367
8.94,60,5376.335785
8.56,56,5381.507281
7.73,48,5384.77542
7.2,47,5386.547915
8.6,53,5391.716809
2.13,15,5392.27286
8.66,57,5395.841879
8.82,57,5399.336527
8.61,54,5403.06336
8.28,52,5406.488681
8.62,56,5410.229986
6.96,43,5413.371453
7.68,47,5416.676534
7.3,51,5420.042922
7.85,51,5423.505669
7.95,55,5427.251919
6.76,43,5430.461264
8.21,56,5434.24373
7.92,52,5437.572699
7.78,52,5441.099171
8.47,59,5446.141693
8.12,55,5449.720215
6.3,42,5451.32979
7.45,53,5456.576244
7.46,48,5458.359418
7.43,48,5461.765555
8.24,56,5466.960702
7.36,50,5470.478937
7.89,52,5473.877468
5.08,35,5475.251444
8.24,59,5478.967874
8.37,55,5483.949152
8.48,58,5487.68408
6.95,44,5490.758605
7.51,49,5493.959308
9.23,60,5497.67619
6.98,49,5501.048619
7.32,45,5504.311083
7.68,49,5507.835888
7.64,48,5511.117767
7.78,51,5514.666834
6.8,44,5517.85863
6.99,44,5519.472459
7.21,48,5522.754643
8.81,62,5528.136596
8.42,53,5531.581684
7.85,50,5534.875985
6.47,42,5536.467808
8.2,57,5541.765215
8.85,57,5545.40816
3.73,26,5546.39906
4.02,28,5548.995649
6.82,44,5552.302954
8.53,54,5555.857545
8.11,55,5559.494222
8.3,54,5562.98689
7.86,56,5566.660875
8.87,59,5570.453075
7.64,53,5573.988793
9.07,59,5579.19171
2.28,18,5579.821669
7.3,49,5583.147132
8.29,54,5586.871523
8.03,57,5590.471662
8.09,50,5593.772287
1.07,6,5594.127767
7.98,53,5597.706832
7.88,51,5601.044042
8.38,53,5604.723402
7.91,53,5608.234696
8.57,58,5613.610695
7.55,51,5616.989125
7.6,49,5620.316597
7.77,52,5624.061559
8.2,55,5627.557919
8.49,62,5631.500031
8.45,58,5635.176861
7.94,53,5638.681911
7.8,52,5642.182772
7.72,56,5645.736689
8.19,54,5649.411817
8.86,58,5654.45034
5.17,32,5655.793158
8.24,55,5659.254244
7.33,46,5662.721252
8.28,57,5666.611823
7.15,42,5669.757957
8.05,53,5673.313481
7.35,47,5676.665669
9.21,59,5680.392029
6.57,43,5683.508123
7.78,49,5686.941663
7.78,51,5691.200444
8.3,54,5695.819988
8.55,54,5700.373904
8.55,57,5711.328338
7.49,50,5737.558276
7.96,54,5757.8692
8.1,54,5765.119939
8.12,53,5772.299177
7.9,56,5778.079908
8.94,55,5783.680341
7.57,49,5788.765085
2.59,18,5789.94311
8.94,62,5797.424411
1.8,14,5798.30595
7.07,49,5803.10526
7.72,55,5808.20794
7.1,47,5812.916186
7.37,49,5817.730062
7.13,50,5822.591389
7.49,52,5827.394319
7.88,51,5832.423795
8.42,51,5837.237677
7.73,53,5841.864021
6.41,37,5845.898843
8.16,51,5850.444877
8.43,58,5855.581471
8.16,54,5860.016659
7.1,49,5864.415358
7.55,50,5868.89785
7.63,54,5873.71509
7.65,53,5878.104789
7.24,46,5881.460579
6.3,40,5884.469398
7.76,51,5887.783245
5.4,35,5890.532281
7.56,54,5894.256094
8.27,53,5897.561408
8.23,55,5901.050221
7.71,47,5904.306173
7.46,45,5907.440586
7.05,51,5911.013534
6.54,45,5914.08517
8.39,56,5917.614963
7.99,51,5920.968923
8.06,57,5924.808531
8.33,51,5928.138662
6.55,40,5931.015633
7.36,50,5934.331815
8.64,54,5937.860285
5.13,35,5939.242487
6.05,42,5942.253639
6.97,44,5945.623286
7.88,58,5949.154717
7.93,52,5952.365735
7.98,54,5955.803966
8.75,57,5960.78721
8.25,52,5964.331302
8.13,57,5967.92371
7.76,51,5971.332024
8.59,55,5974.875057
8.17,54,5978.35466
7.64,47,5981.504865
6.84,45,5984.625502
8.79,56,5988.312292
7.15,44,5991.27715
6.69,43,5994.500327
8.59,55,5998.065545
8.39,57,6001.838278
7.76,50,6005.178846
8.92,60,6008.953035
7.34,48,6012.29797
7.94,53,6016.024798
8.29,54,6019.386539
1.12,8,6019.755733
6.1,38,6022.776667
2.43,16,6023.393471
8.24,55,6028.424387
8.11,57,6032.068938
7.33,53,6035.496211
8.7,61,6039.261473
7.65,54,6042.792624
8.04,52,6046.338457
7.9,53,6049.885676
9.04,60,6053.940312
7.95,52,6057.498592
8.71,57,6063.019172
8.21,56,6067.089125
8.47,53,6070.65145
7.84,52,6074.391437
7.62,55,6078.258195
8.99,60,6082.835078
7.22,45,6086.183658
7.78,48,6089.638405
8.59,57,6093.670632
7.38,48,6096.981418
8.64,57,6100.848377
8.08,47,6104.184682
8.45,58,6108.042251
7.37,52,6111.610398
8.11,58,6115.341652
9.12,62,6120.393557
7.56,51,6123.982176
8.35,54,6127.678942
8.24,52,6131.164321
8.42,53,6134.806719
8.25,55,6138.445158
8.12,49,6141.824539
4.37,30,6144.298165
8.66,59,6148.064417
7.51,51,6151.335396
7.93,51,6154.714567
8.43,52,6158.180488
7.63,56,6161.757616
6.21,39,6164.620781
9.17,58,6168.114961
2.19,13,6168.733672
7.41,50,6172.240258
8.34,55,6175.836375
7.3,51,6179.282945
7.23,47,6182.506407
5.96,37,6185.460258
6.08,39,6188.309336
7.63,48,6191.428171
8.29,53,6194.865656
8.08,51,6198.132114
7.61,47,6201.144969
7.8,51,6204.609647
1.7,13,6205.039912
8.31,53,6208.613496
7.57,52,6211.914544
7.32,49,6215.240291
7.45,55,6218.722138
7.97,51,6222.025283
5.96,39,6224.885277
8.38,55,6228.228163
8.04,58,6231.905352
7.5,46,6235.116764
7.22,48,6238.232544
7.98,58,6242.47888
7.93,49,6246.936726
8.46,60,6251.630514
8.76,57,6257.821076
7.09,44,6260.291285
6.91,48,6264.630814
8.61,53,6269.17345
7.24,47,6273.705147
8.03,46,6277.812485
8.05,55,6282.449489
8.48,58,6288.329848
8.62,57,6292.801609
7.39,50,6296.968871
7.53,50,6301.254214
8.16,54,6305.550605
7.76,50,6310.061407
8.16,54,6314.492135
8.16,50,6319.022113
8.96,57,6323.706642
8.34,55,6328.143526
8.05,53,6332.609275
8.12,54,6337.302354
7.66,50,6342.105581
2.93,19,6345.284187
8.92,57,6350.043536
8.02,54,6355.080486
7.7,50,6359.77709
7.57,50,6363.989573
7.75,52,6368.492179
7.85,56,6372.767389
8.2,55,6377.516758
8.29,56,6382.288823
7.68,52,6387.098992
7.86,50,6391.713756
8.1,55,6396.097585
8.7,58,6402.189139
8.3,54,6406.842047
8.48,54,6411.549706
7.0,47,6415.455298
8.0,55,6419.639892
7.76,53,6423.828613
7.61,54,6428.061833
7.25,48,6431.895612
8.74,56,6436.307357
7.23,47,6440.280485
8.49,55,6444.583378
6.77,46,6448.474872
8.42,57,6452.700244
7.7,46,6456.581229
8.74,59,6461.66784
7.38,50,6465.87589
8.77,57,6470.505696
8.62,56,6474.915062
8.25,52,6479.34739
4.32,30,6482.542975
7.71,50,6486.650908
7.12,46,6490.514915
8.5,59,6495.058037
2.12,14,6495.796566
7.97,52,6499.849723
8.17,52,6505.711035
7.71,51,6509.750361
7.91,53,6514.263725
6.54,40,6516.312225
7.7,48,6520.151839
6.77,41,6523.999253
7.92,53,6528.465145
8.34,63,6535.000776
8.28,60,6539.802147
7.41,46,6543.643168
8.49,57,6547.944018
8.34,56,6552.430824
8.14,55,6556.948877
7.48,52,6561.5242
7.71,55,6566.158724
8.83,60,6570.860841
7.98,45,6574.710921
8.63,55,6579.309306
8.02,52,6583.639705
7.65,49,6587.906562
7.72,51,6592.320312
8.49,60,6598.685221
7.91,49,6602.856638
7.87,49,6607.044159
2.97,22,6608.097399
8.97,59,6612.740098
7.5,48,6616.933474
7.89,49,6620.995208
8.18,56,6625.68283
4.77,31,6628.940087
8.5,55,6633.2183
7.99,53,6637.609779
7.65,51,6642.03084
8.41,54,6646.282413
8.83,60,6650.991587
8.82,58,6655.647556
6.69,44,6659.53506
6.61,41,6663.127204
7.81,56,6667.783855
8.24,55,6672.206442
8.38,52,6676.503651
8.34,54,6680.84028
8.29,52,6687.167349
7.8,50,6692.233123
6.94,46,6695.340245
8.21,55,6703.231153
8.11,52,6708.425492
8.5,60,6715.038246
7.63,49,6719.916087
4.54,35,6722.08558
7.77,49,6726.575026
7.34,45,6730.818229
8.22,54,6735.607073
8.4,54,6742.080202
7.08,45,6744.531915
7.79,52,6749.032019
7.81,53,6755.748595
7.89,50,6760.0949
8.23,55,6764.707961
7.75,50,6769.023492
8.28,53,6773.467711
7.97,51,6777.866019
7.66,50,6782.221229
7.84,51,6786.873313
9.55,62,6791.980886
8.37,57,6796.544922
8.08,55,6801.14206
8.18,49,6805.745509
7.55,45,6809.842815
7.26,49,6814.263679
6.92,46,6818.430707
5.12,34,6822.083206
8.62,58,6826.897793
7.73,50,6831.32331
8.49,50,6835.897659
8.21,52,6840.805267
8.37,56,6845.419878
8.58,56,6851.164203
8.53,54,6855.813197
8.92,59,6860.374531
7.94,54,6864.841949
8.07,51,6868.998833
8.56,56,6874.988553
6.28,41,6877.141015
6.53,43,6881.18551
6.23,40,6884.874795
7.81,52,6890.46533
8.49,59,6896.808204
6.03,36,6901.224394
8.68,54,6912.628243
7.95,54,6920.781454
7.97,52,6925.635181
6.79,46,6932.682228
7.64,51,6940.158097
7.45,50,6949.264401
8.02,54,6958.04974
7.55,51,6966.658656
7.75,52,6975.938411
7.92,48,6984.408429
8.21,54,6993.00403
6.52,40,7000.851634
7.91,52,7011.439943
7.4,46,7020.389259
7.48,50,7027.174877
7.84,51,7032.542948
8.08,52,7040.86849
8.75,58,7052.182716
7.2,46,7057.994934
8.6,54,7063.061925
7.37,47,7067.591739
8.16,55,7072.669639
8.26,55,7077.503574
7.13,45,7082.687858
8.1,51,7086.997098
7.38,53,7092.055927
8.24,54,7097.40991
7.87,48,7102.086928
6.28,44,7108.250961
7.65,49,7112.919394
7.95,48,7117.798871
7.26,44,7122.22978
7.37,47,7126.413925
7.84,51,7131.971756
8.67,55,7137.183607
8.78,59,7141.805522
7.38,47,7146.393124
6.8,43,7150.684614
7.58,48,7155.312588
8.05,53,7161.164421
3.64,23,7164.138241
7.59,49,7169.161854
7.82,51,7173.641908
8.45,54,7179.660903
3.61,26,7181.075281
8.53,57,7186.501933
7.32,47,7190.958547
8.43,57,7196.1172
7.6,47,7201.728
8.01,51,7207.1752
8.34,56,7213.676304
7.57,49,7218.360514
6.69,42,7220.800776
8.42,57,7227.845579
7.52,48,7230.1497
8.72,58,7236.337716
8.18,57,7240.826619
7.6,50,7246.466879
7.69,54,7250.857432
8.18,56,7255.185226
6.87,46,7259.760373
7.52,48,7263.789287
7.98,53,7268.842168
8.26,57,7273.47861
7.77,54,7278.878252
4.94,35,7283.290268
7.07,45,7287.721428
7.89,52,7292.928125
8.09,54,7298.514669
6.44,42,7302.390495
7.27,51,7306.504876
7.39,46,7311.305023
7.79,50,7316.415266
7.28,48,7320.811221
7.06,44,7322.730908
7.33,46,7326.814934
6.79,46,7330.730646
8.34,53,7335.348758
8.22,52,7340.981247
8.06,54,7348.239441
7.67,50,7352.646772
7.79,50,7357.876758
6.47,39,7359.864631
8.5,56,7364.610603
7.59,50,7369.00817
7.4,52,7373.558476
6.17,38,7378.675207
8.07,54,7382.85943
6.88,43,7386.767146
8.91,58,7391.940072
8.5,54,7397.546005
8.28,55,7402.704236
7.06,50,7407.064628
7.7,53,7413.518319
8.16,56,7418.696072
7.56,51,7423.22547
7.59,51,7428.998055
2.8,19,7430.446617
7.39,51,7436.248048
6.77,45,7441.470708
7.94,54,7446.501852
8.16,54,7451.1726
7.96,53,7458.614623
7.81,46,7463.469694
2.95,17,7464.846425
7.78,51,7476.091944
